id;description;date;severe;code
1;ouch de façon que timide;2023-12-19T08:20:10;true;30207
2;pff dense athlète;2023-12-18T19:47:17;false;2301
3;biathlète toc-toc responsable;2023-12-19T06:02:34;false;27058
4;sauter tant;2023-12-18T23:53:58;false;21620
5;actionnaire tant si;2023-12-19T11:42:53;false;4862
6;tant;2023-12-19T07:05:59;true;4859
7;désormais depuis responsable;2023-12-19T06:15:23;true;10589
8;recommander moderne mince;2023-12-19T05:15:38;true;21811
9;ha partenaire a;2023-12-18T22:22:30;false;4558
10;grrr équipe de recherche plouf;2023-12-18T20:19:05;false;9405
