id;nom;adresse;ville;code_postal
1;à la faveur de magnifique;orange disparaître juriste;de manière à ce que;"92755"
2;miam;chef espiègle;accrocher jamais équipe de recherche;"72121"
3;drôlement assez;en dépit de;membre de l’équipe;"11687"
4;de peur que gai membre de l’équipe;plouf gai;tic-tac neutre;"45732"
5;recouvrir;calme;tchou tchouu jouer en bas de;"65237"
6;badaboum combien;offrir sauter;commis de cuisine quasiment;"75536"
7;savoir;avex;jamais;"61847"
8;dès que;sus puis;ah porte-parole prou;"82916"
9;antique tsoin-tsoin excéder;terne bénéficier hystérique;touchant sale;"75052"
10;ouch;antagoniste apparemment;areu areu;"17186"
