id;date;echeance;intervale_jours;tache;fee_dans_letang
1;2023-12-19T12:31:45;2023-12-19T07:04:43;307;souvent;true
2;2023-12-18T19:03:55;2023-12-19T07:55:35;176;à condition que sitôt que;true
3;2023-12-18T21:40:43;2023-12-18T13:29:19;286;coin-coin être;false
4;2023-12-19T09:33:52;2023-12-18T13:58:11;235;rectangulaire circulaire;true
5;2023-12-18T16:06:21;2023-12-19T03:32:53;148;bang hi;false
6;2023-12-18T14:30:11;2023-12-18T17:51:47;118;du fait que contre;true
7;2023-12-19T02:59:37;2023-12-18T19:57:48;344;environ comment;true
8;2023-12-19T03:48:05;2023-12-19T04:19:47;315;tandis que au-dessus de lunatique;false
9;2023-12-19T12:36:09;2023-12-19T06:35:37;308;adorable clac;true
10;2023-12-18T19:56:41;2023-12-19T06:20:47;281;réfléchir toc-toc exprès;true
