id;nom;date;apport_calorique;poids_consomme;description
1;céans jeune envoyer;2023-12-18T20:21:36;3054.55;2295.59;rudement toc-toc pendant que
2;du fait que;2023-12-18T19:47:29;3720.92;4255.35;même
3;à demi croire;2023-12-18T22:51:52;1638.74;3740.11;hystérique fumer drelin
4;administration conquérir;2023-12-19T11:59:19;329;4525.84;pendant que sédentaire incalculable
5;porte-parole clientèle;2023-12-19T08:57:21;3030.14;342.58;oh étant donné que dîner
6;équipe de recherche même si environ;2023-12-19T00:43:32;908.1;1270.08;pauvre blablabla de peur que
7;touchant;2023-12-18T21:48:43;4948.11;623.66;au-dessus
8;au-dessous pin-pon même si;2023-12-18T17:47:24;4392.53;1076.7;hôte
9;maintenant quelque oh;2023-12-18T13:55:30;4267.55;28.26;cocorico délégation
10;bof;2023-12-19T11:44:14;4160.54;4440.33;fourbe vaincre
